transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,profit,gender,past_3_years_bike_related_purchases,DOB,Age,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,property_valuation,comparison_date,recency
253,2,3123,2017-12-30,0.0,Approved,Giant Bicycles,Road,low,small,590.26,525.33,2010-11-05 00:00:00,64.92999999999995,Female,71.0,1976-08-17 00:00:00,47.0,Dental Hygienist,Health,High Net Worth,N,No,20.0,6915 Nobel Crossing,2195.0,NSW,6.0,2017-12-30,0.0
411,62,3355,2017-12-30,0.0,Approved,Solex,Standard,medium,medium,478.16,298.72,1993-06-23 00:00:00,179.44,Female,50.0,1990-02-19 00:00:00,33.0,Staff Accountant I,Manufacturing,Mass Customer,N,No,3.0,45 Talisman Pass,4102.0,QLD,4.0,2017-12-30,0.0
606,70,2878,2017-12-30,0.0,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,1999-07-26 00:00:00,198.29000000000002,Male,73.0,1985-10-31 00:00:00,37.0,Analog Circuit Design manager,Property,Mass Customer,N,Yes,9.0,12574 Truax Alley,2316.0,NSW,6.0,2017-12-30,0.0
748,80,2865,2017-12-30,1.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,2012-05-18 00:00:00,872.8900000000001,Female,11.0,1997-12-14 00:00:00,25.0,Electrical Engineer,Manufacturing,High Net Worth,N,No,3.0,6804 Red Cloud Parkway,2099.0,NSW,9.0,2017-12-30,0.0
1033,49,934,2017-12-30,0.0,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,1997-10-04 00:00:00,133.38,Male,76.0,1996-01-22 00:00:00,27.0,Human Resources Manager,Manufacturing,Mass Customer,N,No,6.0,4 Eastlawn Crossing,2036.0,NSW,12.0,2017-12-30,0.0
1697,56,2421,2017-12-30,1.0,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,1991-01-21 00:00:00,45.96000000000001,Female,54.0,1954-08-16 00:00:00,69.0,Research Nurse,Health,Affluent Customer,N,Yes,13.0,1369 Morrow Plaza,3046.0,VIC,8.0,2017-12-30,0.0
2074,12,675,2017-12-30,1.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,2010-05-05 00:00:00,1069.5500000000002,Female,37.0,1976-12-19 00:00:00,46.0,Administrative Assistant I,Financial Services,Mass Customer,N,Yes,17.0,99 Cascade Crossing,2048.0,NSW,12.0,2017-12-30,0.0
2285,95,3216,2017-12-30,1.0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,2016-03-29 00:00:00,41.129999999999995,Male,59.0,1998-05-08 00:00:00,25.0,Database Administrator III,Manufacturing,Mass Customer,N,Yes,1.0,26710 Express Trail,4390.0,QLD,7.0,2017-12-30,0.0
2843,90,1506,2017-12-30,1.0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,2005-05-10 00:00:00,72.59999999999997,Male,21.0,1958-02-21 00:00:00,0.0,0,Property,Mass Customer,N,No,17.0,6 Canary Plaza,2223.0,NSW,8.0,2017-12-30,0.0
2950,30,447,2017-12-30,0.0,Approved,Solex,Standard,high,medium,748.17,448.9,1994-07-12 00:00:00,299.27,Female,98.0,2001-11-06 00:00:00,21.0,Help Desk Technician,Argiculture,Mass Customer,N,Yes,1.0,93 Jana Junction,2213.0,NSW,10.0,2017-12-30,0.0
3254,75,1000,2017-12-30,0.0,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,2006-05-22 00:00:00,1010.02,Female,44.0,1978-08-07 00:00:00,45.0,Compensation Analyst,Financial Services,Mass Customer,N,No,11.0,4757 Texas Trail,3136.0,VIC,9.0,2017-12-30,0.0
3938,95,993,2017-12-30,0.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,1997-01-25 00:00:00,139.2299999999999,Female,71.0,1977-02-18 00:00:00,46.0,Account Coordinator,Argiculture,High Net Worth,N,No,17.0,84019 Porter Trail,2871.0,NSW,3.0,2017-12-30,0.0
4669,29,1052,2017-12-30,0.0,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,2000-11-03 00:00:00,834.9399999999999,Female,31.0,1986-02-02 00:00:00,37.0,Junior Executive,Financial Services,High Net Worth,N,No,3.0,06 Declaration Hill,3184.0,VIC,11.0,2017-12-30,0.0
5651,25,2713,2017-12-30,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,1993-05-26 00:00:00,709.34,Male,55.0,1954-11-03 00:00:00,68.0,Statistician II,Retail,Affluent Customer,N,Yes,5.0,29895 Crest Line Point,2049.0,NSW,11.0,2017-12-30,0.0
7267,57,1972,2017-12-30,1.0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,1991-01-21 00:00:00,1630.25,Male,12.0,1989-07-14 00:00:00,0.0,0,IT,Mass Customer,N,Yes,2.0,38 Armistice Alley,2018.0,NSW,8.0,2017-12-30,0.0
7311,1,1328,2017-12-30,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2012-09-15 00:00:00,448.67999999999995,Male,19.0,1981-09-02 00:00:00,41.0,Budget/Accounting Analyst IV,IT,Mass Customer,N,Yes,6.0,27 Farmco Pass,3806.0,VIC,8.0,2017-12-30,0.0
7518,65,3433,2017-12-30,0.0,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,2015-05-21 00:00:00,1028.76,Female,10.0,1998-04-28 00:00:00,25.0,Computer Systems Analyst II,Property,Mass Customer,N,No,2.0,82 Warrior Hill,3174.0,VIC,8.0,2017-12-30,0.0
7547,23,1407,2017-12-30,1.0,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,1999-06-23 00:00:00,75.75,Female,43.0,1980-10-04 00:00:00,42.0,Structural Analysis Engineer,Manufacturing,Mass Customer,N,Yes,9.0,931 Rigney Terrace,3015.0,VIC,10.0,2017-12-30,0.0
